date,open,high,low,close,volume,amount,outstanding_share,turnover
2025-02-05,1388.68,1391.57,1352.23,1353.77,4075652.0,5753730034.0,1256197800.0,0.0032444349130367847
2025-02-06,1350.11,1371.31,1350.11,1362.48,2735582.0,3859568163.0,1256197800.0,0.0021776681984318077
2025-02-07,1363.29,1391.26,1353.39,1384.82,3724207.0,5310850624.0,1256197800.0,0.0029646660740848298
2025-02-10,1386.75,1388.68,1376.23,1380.49,2083979.0,2988101756.0,1256197800.0,0.0016589576896249938
2025-02-11,1383.81,1384.78,1365.44,1367.46,2357283.0,3348668867.0,1256197800.0,0.0018765221528010956
2025-02-12,1367.46,1393.5,1366.38,1391.57,2547579.0,3644170477.0,1256197800.0,0.0020280078503560504
2025-02-13,1391.59,1422.67,1383.38,1412.84,4338536.0,6335985851.0,1256197800.0,0.0034537045041791985
2025-02-14,1412.84,1424.36,1406.25,1422.43,2709992.0,3978694098.0,1256197800.0,0.0021572972027175973
2025-02-17,1428.21,1441.7,1414.81,1419.17,3247059.0,4804663813.0,1256197800.0,0.002584830987604022
2025-02-18,1417.61,1439.78,1409.97,1422.43,2779992.0,4113845397.0,1256197800.0,0.002213020911197265
2025-02-19,1422.48,1441.18,1412.69,1437.86,3239331.0,4803378441.0,1256197800.0,0.002578679090187867
2025-02-20,1430.14,1438.79,1420.88,1421.46,2374973.0,3513552984.0,1256197800.0,0.0018906043299868858
2025-02-21,1427.25,1443.38,1420.51,1435.17,3641783.0,5418169587.0,1256197800.0,0.002899052203402999
2025-02-24,1434.97,1446.07,1421.46,1426.35,3474373.0,5157907322.0,1256197800.0,0.0027657849743089823
2025-02-25,1417.62,1420.88,1400.25,1402.18,2838743.0,4142814459.0,1256197800.0,0.0022597898197242506
2025-02-26,1403.58,1412.75,1393.5,1407.97,2636609.0,3835949041.0,1256197800.0,0.0020988804470124054
2025-02-27,1407.98,1436.8,1402.18,1432.61,4976217.0,7368002361.0,1256197800.0,0.003961332363422385
2025-02-28,1432.55,1473.91,1429.18,1447.3,5612895.0,8475738166.0,1256197800.0,0.004468161781528355
2025-03-03,1449.04,1466.78,1428.7,1434.02,3159566.0,4736679903.0,1256197800.0,0.0025151819243752855
2025-03-04,1432.07,1433.04,1412.99,1417.71,2521121.0,3710675863.0,1256197800.0,0.002006945880656693
2025-03-05,1419.54,1421.46,1408.06,1414.11,2460522.0,3606932152.0,1256197800.0,0.0019587058662258443
2025-03-06,1421.46,1456.37,1419.61,1452.3,4216764.0,6297117400.0,1256197800.0,0.0033567675409079687
2025-03-07,1449.43,1473.89,1449.43,1466.79,3799135.0,5760608729.0,1256197800.0,0.003024312731641466
2025-03-10,1465.64,1472.46,1452.46,1468.62,3136907.0,4758789260.0,1256197800.0,0.002497144159940417
2025-03-11,1462.93,1493.48,1458.11,1493.48,3977560.0,6094007854.0,1256197800.0,0.0031663484842912475
2025-03-12,1491.82,1494.45,1471.95,1487.6,2960396.0,4552923644.0,1256197800.0,0.002356632052691065
2025-03-13,1488.97,1500.06,1476.32,1482.96,2572439.0,3966369271.0,1256197800.0,0.0020477977273961156
2025-03-14,1492.5,1569.99,1486.08,1569.99,9291315.0,14882842708.0,1256197800.0,0.007396378977896634
2025-03-17,1597.94,1598.9,1568.9,1579.48,5468913.0,8985138902.0,1256197800.0,0.004353544481609505
2025-03-18,1586.41,1593.12,1563.9,1566.12,3161345.0,5153210436.0,1256197800.0,0.0025165981026236475
2025-03-19,1566.4,1589.26,1565.15,1577.41,2738955.0,4477128770.0,1256197800.0,0.002180353285127549
2025-03-20,1577.41,1579.23,1538.22,1546.83,3673677.0,5903879207.0,1256197800.0,0.0029244415170922924
2025-03-21,1542.01,1554.74,1512.91,1517.66,3361430.0,5324973190.0,1256197800.0,0.002675876362782995
2025-03-24,1514.04,1533.0,1506.69,1526.58,2556585.0,4032223482.0,1256197800.0,0.002035177103478449
2025-03-25,1531.4,1536.03,1510.82,1519.35,1767438.0,2783286813.0,1256197800.0,0.0014069742838269579
2025-03-26,1516.71,1526.17,1515.01,1519.83,1432356.0,2257639750.0,1256197800.0,0.0011402312597586144
2025-03-27,1519.83,1541.29,1517.3,1532.37,1795563.0,2848889210.0,1256197800.0,0.00142936327384111
2025-03-28,1534.23,1536.22,1519.83,1528.71,1622789.0,2569470015.0,1256197800.0,0.001291826016571594
